Label,ID,,,,Latitude,Longitude,,,,School Metro,,,School Charter,School Magnet,School Year Round,School Nlns,School Kipp,School Charter Ready Promise,Teacher Prefix,Teach For America,Teacher NY Teaching Fellow,Primary Focus Subject,Primary Focus Area,Secondary Focus Subject,Secondary Focus Area,Resource Type,Poverty Level,Grade Level,,Total Price,Total Price Plus Opt,Students Reached,Eligible For Double Your Impact,Eligible Almost Home Match,Date Posted,,,Is Fully Funded,ID
1,0.0,0.0,0.0,0.0,40.911132,-74.177487,0.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,8.0,3.0,3.0,3.0,2.0,0.0,423.64,498.4,20.0,1.0,-1.0,4511.0,0.0,0.0,0.0,#04253ca3508fa15980d072bca431b588
1,0.0,0.0,0.0,0.0,29.94351,-90.048363,0.0,0.0,0.0,3.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,25.0,6.0,0.0,0.0,3.0,4.0,3.0,0.0,443.88,522.21,250.0,1.0,-1.0,4311.0,0.0,0.0,0.0,#04255789dbfe6f016d3db70796c64a18
-1,0.0,0.0,0.0,0.0,33.152109,-96.704386,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,25.0,6.0,1.0,2.0,3.0,0.0,129.26,157.63,30.0,-1.0,-1.0,3660.0,0.0,0.0,0.0,#042570490eee801ea32fe1426526c459
1,0.0,0.0,0.0,0.0,33.950153,-118.248322,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,25.0,6.0,12.0,3.0,1.0,4.0,1.0,0.0,260.61,306.6,24.0,1.0,-1.0,4467.0,0.0,0.0,0.0,#042592eccea0ea180dbdc6c1cde1f9ec
1,0.0,0.0,0.0,0.0,29.674398,-95.567338,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,25.0,6.0,0.0,0.0,2.0,4.0,1.0,0.0,375.46,441.72,20.0,-1.0,-1.0,4728.0,0.0,0.0,0.0,#0425ed47a80a2a90f8b5b7681786f84c
-1,0.0,0.0,0.0,0.0,37.847041,-122.264413,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,5.0,7.0,0.0,0.0,3.0,4.0,2.0,0.0,469.66,572.76,18.0,-1.0,-1.0,2640.0,0.0,0.0,0.0,#04262783bca3821e88d4e427a9776582
1,0.0,0.0,0.0,0.0,37.783855,-122.464661,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,23.0,6.0,17.0,6.0,1.0,2.0,2.0,0.0,183.84,216.28,30.0,-1.0,-1.0,4666.0,0.0,0.0,0.0,#042635a22b42dc240c757df3974d87bd
1,0.0,0.0,0.0,0.0,41.219197,-111.95951,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,17.0,6.0,23.0,6.0,3.0,4.0,2.0,0.0,283.74,333.81,95.0,1.0,-1.0,5069.0,0.0,0.0,0.0,#042641155ebe79f08cc1ed8373072e77
1,0.0,0.0,0.0,0.0,34.906352,-80.972081,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,25.0,6.0,17.0,6.0,1.0,4.0,1.0,0.0,391.55,477.5,20.0,-1.0,-1.0,2161.0,0.0,0.0,0.0,#042678af8d9a4d42b2f35b04e6cf4d85
-1,0.0,0.0,0.0,0.0,31.335831,-89.324837,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,8.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,927.18,1090.8,45.0,-1.0,-1.0,4216.0,0.0,0.0,0.0,#04267bb2c7322123c17dee5168e09129
-1,0.0,0.0,0.0,0.0,39.456045,-77.408263,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,8.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,663.32,780.38,60.0,-1.0,-1.0,4612.0,0.0,0.0,0.0,#04267cb4264942253f4d0f575681f58e
1,0.0,0.0,0.0,0.0,28.170648,-81.488938,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,11.0,2.0,0.0,0.0,3.0,4.0,3.0,0.0,447.99,527.05,8.0,1.0,-1.0,4814.0,0.0,0.0,0.0,#042681084ba5029ab83b5da06b354cd4
-1,0.0,0.0,0.0,0.0,30.609885,-87.902883,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,8.0,3.0,17.0,6.0,3.0,2.0,2.0,0.0,447.18,526.09,160.0,1.0,-1.0,4240.0,0.0,0.0,0.0,#0426851154f347518fae92c65429cf05
1,0.0,0.0,0.0,0.0,39.944913,-75.092473,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,17.0,6.0,0.0,0.0,3.0,4.0,1.0,0.0,402.38,473.39,20.0,-1.0,1.0,4039.0,0.0,0.0,0.0,#0426af67afa84b600b45bff7d71c7347
1,0.0,0.0,0.0,0.0,33.934943,-118.268911,0.0,0.0,0.0,3.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,8.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0,124.72,152.1,150.0,-1.0,-1.0,2739.0,0.0,0.0,0.0,#0426b780af5c3343d22391a28d2b4aaf
-1,0.0,0.0,0.0,0.0,31.113537,-97.69917,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,0.0,0.0,1.0,3.0,4.0,0.0,410.99,483.52,131.0,-1.0,-1.0,5054.0,0.0,0.0,0.0,#0426cc2d3850503656538910f4f2823d
-1,0.0,0.0,0.0,0.0,45.268456,-93.567574,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,8.0,3.0,25.0,6.0,6.0,2.0,1.0,0.0,439.98,517.62,27.0,-1.0,-1.0,3996.0,0.0,0.0,0.0,#0426e69005c48283b06922f2b9947ef9
1,0.0,0.0,0.0,0.0,35.988205,-78.913765,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,16.0,5.0,1.0,2.0,1.0,0.0,337.41,396.95,27.0,-1.0,-1.0,4299.0,0.0,0.0,0.0,#0426f378af79326b93df8c90e4339055
-1,0.0,0.0,0.0,0.0,38.610623,-121.407895,0.0,0.0,0.0,3.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,17.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,394.04,463.58,23.0,-1.0,-1.0,4705.0,0.0,0.0,0.0,#0426ff5c1177725c81cb001598b325e7
1,0.0,0.0,0.0,0.0,33.403271,-90.895074,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,25.0,6.0,0.0,0.0,1.0,4.0,4.0,0.0,257.31,295.76,110.0,-1.0,1.0,3864.0,0.0,0.0,0.0,#04270e485ffd6d28d825647da9e667f4
1,0.0,0.0,0.0,0.0,40.736287,-80.306763,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,0.0,0.0,6.0,3.0,3.0,0.0,391.4,460.47,340.0,-1.0,-1.0,4834.0,0.0,0.0,0.0,#04272d959213eed9ef77142929c803e2
