Label,ID,,,,Latitude,Longitude,,,,School Metro,,,School Charter,School Magnet,School Year Round,School Nlns,School Kipp,School Charter Ready Promise,Teacher Prefix,Teach For America,Teacher NY Teaching Fellow,Primary Focus Subject,Primary Focus Area,Secondary Focus Subject,Secondary Focus Area,Resource Type,Poverty Level,Grade Level,,Total Price,Total Price Plus Opt,Students Reached,Eligible For Double Your Impact,Eligible Almost Home Match,Date Posted,,,Is Fully Funded,ID
1,0.0,0.0,0.0,0.0,32.969097,-117.126748,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,26.0,1.0,24.0,4.0,3.0,2.0,2.0,0.0,344.33,405.09,18.0,-1.0,-1.0,5053.0,0.0,0.0,0.0,#084febd6a04bc53416cb37e75ad473dd
1,0.0,0.0,0.0,0.0,32.528373,-97.324683,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,26.0,1.0,3.0,3.0,2.0,0.0,287.18,337.86,200.0,-1.0,-1.0,5017.0,0.0,0.0,0.0,#084fff95fc74934aee7cbb155d962514
1,0.0,0.0,0.0,0.0,36.952153,-92.658715,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,12.0,3.0,25.0,6.0,3.0,4.0,4.0,0.0,764.34,899.22,40.0,1.0,-1.0,4339.0,0.0,0.0,0.0,#08505d3354169a0f51449ac1d3fc2fcc
-1,0.0,0.0,0.0,0.0,41.870892,-87.699366,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,21.0,6.0,22.0,7.0,2.0,4.0,4.0,0.0,365.2,429.65,180.0,-1.0,-1.0,4980.0,0.0,0.0,0.0,#0850a30a17b1da055b79e7aec2304abe
1,0.0,0.0,0.0,0.0,33.884441,-85.809635,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,0.0,0.0,2.0,3.0,1.0,0.0,307.97,362.32,17.0,-1.0,-1.0,4456.0,0.0,0.0,0.0,#0850ea8eeb0b8c22f4432eaf00890d4b
1,0.0,0.0,0.0,0.0,44.096641,-70.191734,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,26.0,1.0,7.0,7.0,2.0,3.0,1.0,0.0,140.72,165.55,17.0,-1.0,-1.0,5092.0,0.0,0.0,0.0,#0851039edcdb9b7c7859a04e3e596dbe
1,0.0,0.0,0.0,0.0,36.00458,-78.853241,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,24.0,4.0,17.0,6.0,6.0,4.0,1.0,0.0,402.87,473.96,710.0,-1.0,-1.0,4707.0,0.0,0.0,0.0,#08510fe68dee6f6971726e47177a9e7e
-1,0.0,0.0,0.0,0.0,35.803268,-78.484566,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,24.0,4.0,24.0,4.0,2.0,3.0,2.0,0.0,352.0,429.27,130.0,-1.0,-1.0,2964.0,0.0,0.0,0.0,#08512b7684e6203cbdf01e29e4d04c75
-1,0.0,0.0,0.0,0.0,40.648728,-73.975703,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,25.0,6.0,17.0,6.0,3.0,4.0,2.0,0.0,1672.8,2040.0,20.0,-1.0,-1.0,2165.0,0.0,0.0,0.0,#0851392421955e282dc9e2af86548ffa
-1,0.0,0.0,0.0,0.0,36.108356,-115.220192,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,24.0,4.0,26.0,1.0,3.0,4.0,1.0,0.0,332.0,404.88,8.0,-1.0,-1.0,2991.0,0.0,0.0,0.0,#085152325017e98a873b0df4ffa2bb3c
