projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
2118062fb2b7ea270a52ca29dd12766f,376a1d9e97c6849b72d4bf2be6320a7e,9538b5c0552b89a95d5ec4883ebf0c04,3.20006E+11,36.25377,-115.125885,N Las Vegas,NV,89081,rural,Clark Co School District,Clark,f,f,f,f,f,f,Mr.,f,f,Mathematics,Math & Science,,,Technology,high poverty,Grades 3-5,30,243.06,285.95,32,t,f,4/14/13,f,f,t,t,t,t,t,f,75,0,5
2117fcc21cc69c46466c0f3682f4c246,4c61cad296767989fff6e51e2c455883,0f162fc4f24353e7f7f9c9ac38bc336d,2.73384E+11,44.92514,-93.095131,Saint Paul,MN,55107,urban,St Paul Independent SD 625,Ramsey,f,t,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,35,542.09,637.75,25,t,f,8/31/11,f,f,t,t,f,t,t,f,37,0,9
2117eaae7b803b10aaf99e135fe824c7,8ace7e275fe758bd963f3383fc5ef4f7,2b688324a41610abc281b2e9b7c2ed3a,1.73171E+11,39.598827,-90.809634,Pittsfield,IL,62363,,Pikeland Cmty Sch Dist 10,Pike,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Books,high poverty,Grades PreK-2,30,137.91,162.25,24,f,f,7/25/12,f,f,t,f,f,f,t,f,0,0,1
21179fbf657040780f235c4753da009b,0785cffd857119e592480315fc4e6872,f9c1fe53a81895aa5064308bb537a592,3.70192E+11,36.048576,-79.778015,Greensboro,NC,27406,urban,Guilford Co School District,Guilford,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,,,Books,highest poverty,Grades 3-5,35,221.34,260.4,5,t,f,12/20/11,f,f,t,t,f,f,t,f,50,0,2
2117566be00384ca5fb0590a056cbcea,3caa7c648ad1569c0c41ac85460f5ada,689b96efac70c14dfeaf11bb2906642c,5.30771E+11,47.525612,-122.348656,Seattle,WA,98106,urban,Seattle School District 1,King,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,35,375.54,441.81,26,f,f,10/8/11,t,t,t,t,t,t,t,f,78,5,12
21174df4d50518d186d3b3b20f0a62ee,b855a04de276591eb19e8c3faa2bc573,d8835c9f5d2da6513fc571b54ec29913,2.20165E+11,30.257913,-89.779907,Slidell,LA,70458,suburban,St Tammany Parish Sch District,St Tammany,f,f,f,f,f,f,Ms.,f,f,Character Education,Applied Learning,,,Supplies,highest poverty,Grades PreK-2,17,289.5,353.05,21,f,f,1/30/07,f,,f,,f,,,,,,
21174d8710a35f25af8035e0e9d995bc,24beea567927e13e208d40fc1c5bb8a0,05b90c71cb4f04feb1d783a2c3e5e844,4.82892E+11,32.599091,-97.09362,Arlington,TX,76002,rural,Mansfield Ind School District,Tarrant,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Music,Music & The Arts,Supplies,moderate poverty,Grades PreK-2,17,185,225.61,8,f,f,11/2/08,f,f,t,t,t,t,f,f,100,0,8
211749dd7afee899b4c1b38cc1275a05,a11bf1e0115fc37fe388e4cc1178daaf,fdc9aa78f8b6bb741ecaccc66df6356b,2.70579E+11,44.815247,-93.295968,Bloomington,MN,55431,urban,Bloomington Pub Sch Dist 271,Hennepin,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Books,high poverty,Grades PreK-2,35,254.09,298.93,50,t,f,4/5/11,f,f,t,t,f,t,t,f,0,0,4
2117246b133a18c5254ca6728493c186,cd332f0579192a8547ea1d37d94e0ebd,d769b05aad5de22299536807ac515d26,2.72124E+11,44.953151,-93.259895,Minneapolis,MN,55407,urban,Minneapolis Public Sch Dist,Hennepin,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Economics,History & Civics,Technology,highest poverty,Grades 3-5,30,601.42,707.55,75,f,f,1/24/13,f,f,f,t,t,t,f,f,82,0,16
21171b3a96f9dc85a28716173f7dd32f,b82093f910d9a35613cb81028de4c46d,212357c91e4f9db903e37691b80f1e46,3.60015E+11,40.615929,-73.912835,Brooklyn,NY,11234,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Literacy,Literacy & Language,Supplies,high poverty,Grades 3-5,30,249.9,294,15,t,f,2/8/13,f,f,t,f,f,t,t,f,0,0,3
