1,7021,11356,0.618263473,,7021,11356,7021,11356,0.618263473,,,,,,,,,,73,51,73,51,73,0.698630137
2,5042,7556,0.667284277,,5042,7556,12063,18912,0.637848985,,,,,,,,,,57,47,57,98,130,0.753846154
3,3878,5679,0.682866702,,3878,5679,15941,24591,0.648245293,,,,,,,,,,55,38,55,136,185,0.735135135
4,3062,4268,0.717432052,,3062,4268,19003,28859,0.658477425,,,,,,,,,,54,42,54,178,239,0.744769874
5,2439,3330,0.732432432,,2439,3330,21442,32189,0.66612818,,,,,,,,,,44,36,44,214,283,0.756183746
6,2010,2772,0.725108225,,2010,2772,23452,34961,0.670804611,,,,,,,,,,43,63,86,277,369,0.750677507
7,1684,2282,0.737949167,,1684,2282,25136,37243,0.674918777,,,,,,,,,,42,105,126,382,495,0.771717172
8,1226,1656,0.740338164,,1226,1656,26362,38899,0.677703797,,,,,,,,,,41,27,41,409,536,0.763059701
9,918,1206,0.76119403,,918,1206,27280,40105,0.680214437,,,,,,,,,,40,82,120,491,656,0.74847561
10,1049,1390,0.754676259,,1049,1390,28329,41495,0.68270876,,,,,,,,,,39,33,39,524,695,0.753956835
11,645,858,0.751748252,,645,858,28974,42353,0.684107383,,,,,,,,,,38,27,38,551,733,0.751705321
12,586,780,0.751282051,,586,780,29560,43133,0.685322143,,,,,,,,,,36,66,72,617,805,0.766459627
13,629,832,0.756009615,,629,832,30189,43965,0.686659843,,,,,,,,,,35,61,70,678,875,0.774857143
14,406,546,0.743589744,,406,546,30595,44511,0.687358181,,,,,,,,,,34,105,136,783,1011,0.774480712
15,377,480,0.785416667,,377,480,30972,44991,0.688404348,,,,,,,,,,33,82,99,865,1110,0.779279279
16,287,400,0.7175,,287,400,31259,45391,0.688660748,,,,,,,,,,32,26,32,891,1142,0.780210158
17,311,408,0.762254902,,311,408,31570,45799,0.689316361,,,,,,,,,,31,52,62,943,1204,0.783222591
18,359,450,0.797777778,,359,450,31929,46249,0.690371684,,,,,,,,,,30,167,210,1110,1414,0.785007072
19,377,494,0.763157895,,377,494,32306,46743,0.691140919,,,,,,,,,,29,51,58,1161,1472,0.788722826
20,235,300,0.783333333,,235,300,32541,47043,0.691728844,,,,,,,,,,28,74,84,1235,1556,0.793701799
21,143,189,0.756613757,,143,189,32684,47232,0.691988482,,,,,,,,,,27,77,108,1312,1664,0.788461538
22,123,154,0.798701299,,123,154,32807,47386,0.692335289,,,,,,,,,,26,166,208,1478,1872,0.789529915
23,189,230,0.82173913,,189,230,32996,47616,0.692960349,,,,,,,,,,25,159,200,1637,2072,0.790057915
24,262,312,0.83974359,,262,312,33258,47928,0.693915874,,,,,,,,,,24,262,312,1899,2384,0.796560403
25,159,200,0.795,,159,200,33417,48128,0.694335938,,,,,,,,,,23,189,230,2088,2614,0.798775822
26,166,208,0.798076923,,166,208,33583,48336,0.694782357,,,,,,,,,,22,123,154,2211,2768,0.798771676
27,77,108,0.712962963,,77,108,33660,48444,0.694822888,,,,,,,,,,21,143,189,2354,2957,0.796077105
28,74,84,0.880952381,,74,84,33734,48528,0.695145071,,,,,,,,,,20,235,300,2589,3257,0.794903285
29,51,58,0.879310345,,51,58,33785,48586,0.69536492,,,,,,,,,,19,377,494,2966,3751,0.790722474
30,167,210,0.795238095,,167,210,33952,48796,0.695794737,,,,,,,,,,18,359,450,3325,4201,0.791478219
31,52,62,0.838709677,,52,62,34004,48858,0.695976094,,,,,,,,,,17,311,408,3636,4609,0.7888913
32,26,32,0.8125,,26,32,34030,48890,0.696052362,,,,,,,,,,16,287,400,3923,5009,0.783190258
33,82,99,0.828282828,,82,99,34112,48989,0.696319582,,,,,,,,,,15,377,480,4300,5489,0.783384952
34,105,136,0.772058824,,105,136,34217,49125,0.696529262,,,,,,,,,,14,406,546,4706,6035,0.77978459
35,61,70,0.871428571,,61,70,34278,49195,0.696778128,,,,,,,,,,13,629,832,5335,6867,0.776904034
36,66,72,0.916666667,,66,72,34344,49267,0.697099478,,,,,,,,,,12,586,780,5921,7647,0.774290571
38,27,38,0.710526316,,27,38,34371,49305,0.697109827,,,,,,,,,,11,645,858,6566,8505,0.772016461
39,33,39,0.846153846,,33,39,34404,49344,0.697227626,,,,,,,,,,10,1049,1390,7615,9895,0.769580596
40,82,120,0.683333333,,82,120,34486,49464,0.697193919,,,,,,,,,,9,918,1206,8533,11101,0.768669489
41,27,41,0.658536585,,27,41,34513,49505,0.697161903,,,,,,,,,,8,1226,1656,9759,12757,0.764991769
42,105,126,0.833333333,,105,126,34618,49631,0.697507606,,,,,,,,,,7,1684,2282,11443,15039,0.760888357
43,63,86,0.73255814,,63,86,34681,49717,0.697568236,,,,,,,,,,6,2010,2772,13453,17811,0.755319746
44,36,44,0.818181818,,36,44,34717,49761,0.697674886,,,,,,,,,,5,2439,3330,15892,21141,0.751714678
54,42,54,0.777777778,,42,54,34759,49815,0.697761718,,,,,,,,,,4,3062,4268,18954,25409,0.745956157
55,38,55,0.690909091,,38,55,34797,49870,0.697754161,,,,,,,,,,3,3878,5679,22832,31088,0.734431292
57,47,57,0.824561404,,47,57,34844,49927,0.697898932,,,,,,,,,,2,5042,7556,27874,38644,0.721302143
73,51,73,0.698630137,,51,73,34895,50000,0.6979,,,,,,,,,,1,7021,11356,34895,50000,0.6979
