projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
253cd4e4ad678cebc84745339a0cfb04,abd646088189b39000ad4f7b72cf8720,0f597fd578e12f5ab811d27dded74d5a,,32.919212,-97.005524,Irving,TX,75063,urban,Texas Dept of Education,Dallas,t,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Books,highest poverty,Grades PreK-2,30,566.5,666.47,16,t,f,9/1/13,f,t,t,t,f,t,t,f,50,5,5
253c985995e011d63b587522b05095de,fa9e4411d0f590a902971ac17d340499,a8e1f16f6551622c6e3219a8b31cd9bb,40342002493,33.544931,-112.22628,Glendale,AZ,85303,urban,Glendale Elem Sch Dist 40,Maricopa,f,f,f,f,f,f,Mr.,f,f,Special Needs,Special Needs,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 6-8,30,400.53,471.21,17,f,f,10/19/13,t,t,t,t,t,t,t,f,83,1,10
253c9798de7808b7d4813bd6f5dada2b,0a6ceea211618c5db4b1886ce28ff7ca,fafc29a0e9c4946de5f6560ed9d4fe7b,3.60008E+11,40.735476,-73.987471,New York,NY,10003,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Performing Arts,Music & The Arts,Music,Music & The Arts,Technology,highest poverty,Grades 9-12,17,1422,1734.15,400,f,f,10/1/07,f,f,f,f,f,t,t,f,,0,6
253c939d68eec1f9c407ff742c22a2f8,238e36a08f4124679ff542235a07bbae,0107f14fc1e97f31fad3dfadbeab8836,3.20006E+11,36.112347,-115.247925,Las Vegas,NV,89147,suburban,Clark Co School District,Clark,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Other,Applied Learning,Supplies,highest poverty,Grades PreK-2,30,352.84,415.11,20,t,f,10/9/12,f,f,t,t,f,t,t,f,20,0,6
253c8c8d75bb7ac0b4f67df3cfb73321,5627b0c97403d079adae02699a4a0188,9d5a1653e6512a0d577427e14cac8215,3.60009E+11,40.875183,-73.86171,Bronx,NY,10467,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,t,f,Health & Life Science,Math & Science,,,Trips,highest poverty,Grades 9-12,17,1985.43,2421.26,120,f,f,12/5/06,f,,f,,f,,,,,,
253c7abaabda87726f6256ba356d11f4,d2759a04bf5810482978624b8c59049f,6960f81f006e844d6b5cd9b8d3eb3501,60285010752,37.966095,-121.753189,Antioch,CA,94531,suburban,Antioch Unified School Dist,Contra Costa,f,t,t,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,high poverty,Grades 6-8,35,327.9,385.76,210,f,t,9/13/10,f,t,t,t,f,f,t,f,25,2,2
253c7455c17af2158c989186295fde41,7869a017fecda6614f7c1a099effb9b9,7878214634eac508a63d18bc7ee8279f,1.70993E+11,41.902322,-87.686809,Chicago,IL,60622,urban,West Side Hs Network,Cook,f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 9-12,9,444.52,542.1,30,t,f,9/8/09,f,f,t,t,t,t,t,f,66,0,8
253c59d60977f33b733f43fb0839fd6a,e2ab91b9db4ccfbaf1d86a3514b2fe4c,344d2ec785e33317e0958edbb88fe695,2.51323E+11,42.243789,-71.756944,Worcester,MA,1604,urban,Worcester Public School Dist,Worcester,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,high poverty,Grades 3-5,35,427.01,502.36,25,t,f,1/28/12,f,f,t,t,f,t,t,f,57,0,6
253c3fb21ac3cb0037006318467d0f5f,2bb470194eb7296ead5c0b2b118835b5,0cc9ad7a4543130c160d97d76970eb6d,62250002733,33.837847,-118.123124,Lakewood,CA,90713,suburban,Long Beach Unified School Dist,Los Angeles,f,t,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,Applied Sciences,Math & Science,Technology,highest poverty,Grades 9-12,35,536.06,630.66,215,f,f,6/8/11,f,,f,,f,,,,,,
253c3add52848526cb11b4c747531453,009a8803b6b5ab66149611c90c8b94f1,69125cd278f22cd7d6b982bcf2e41c9b,3.90435E+11,39.374054,-82.129858,The Plains,OH,45780,,Athens City School District,Athens,f,f,f,f,f,f,Mrs.,f,f,Foreign Languages,Literacy & Language,,,Supplies,highest poverty,Grades 9-12,35,363.66,427.84,150,f,f,5/21/12,f,f,t,f,f,f,t,f,0,0,1
